"";"X";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"1";1;"rt twitterbrasil com 5 milhoes tweets brasil foi segundo pais que mais falou sobre o billboard music awards 2017 atras apenas dos eu�";FALSE;0;NA;"2017-05-22 18:40:42";FALSE;NA;866725523799629824;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"dressaa_eu";36;TRUE;FALSE;NA;NA
"2";2;"rt exame inspirado por huck silvio �anuncia� candidatura a presincia gt";FALSE;0;NA;"2017-05-22 18:40:42";FALSE;NA;866725523325628416;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"to_brabo";136;TRUE;FALSE;NA;NA
"3";3;"gostaria saber como ixar ser a mulher mais sorganizada do brasil";FALSE;0;NA;"2017-05-22 18:40:42";FALSE;NA;866725522650394624;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"lalocadabike";0;FALSE;FALSE;NA;NA
"4";4;"rt cynaramenezes quais as razoes ocultas para que o globo queira que temer saia e a folha queira que temer fique amor pelo brasil e que�";FALSE;0;NA;"2017-05-22 18:40:42";FALSE;NA;866725522574901248;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"ecunha01";213;TRUE;FALSE;NA;NA
"5";5;"quem tem medo da mocracia  brasil 247 via brasil247";FALSE;0;NA;"2017-05-22 18:40:42";FALSE;NA;866725522306473984;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"gojammaj";0;FALSE;FALSE;NA;NA
"6";6;"rt bravonline quando possivel eliminar uma palavra sempre elimine aconselhava o escritor britanico em ensaio 1946";FALSE;0;NA;"2017-05-22 18:40:41";FALSE;NA;866725521219960832;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"VitorGMFreitas";1;TRUE;FALSE;NA;NA
"7";7;"rt julyssesrc o garoto do fla parece diferenciado mas so jogou na base em cima e outro esporte e nesse wenl e a maior revelacao sse�";FALSE;0;NA;"2017-05-22 18:40:40";FALSE;NA;866725516258267136;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"arthurngbe";49;TRUE;FALSE;NA;NA
"8";8;"um boa tar do melhor volante do brasil sem clubismo";FALSE;0;NA;"2017-05-22 18:40:40";FALSE;NA;866725513871720448;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"blssdgabriel";0;FALSE;FALSE;NA;NA
"9";9;"rt muylaerte quando vao prenr o ladrao donos da obrecht e jbs confessam que lula recebeu milhoes em comissoes do bns";FALSE;0;NA;"2017-05-22 18:40:40";FALSE;NA;866725513833963520;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"istoe_brasil";27;TRUE;FALSE;NA;NA
"10";10;"rt jmoisesousa1 turquim5 verdasmanip jh agora a pouco o brasil todo pe fora temer";FALSE;0;NA;"2017-05-22 18:40:40";FALSE;NA;866725513775243264;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"SAULDECASTROSIL";15;TRUE;FALSE;NA;NA
